,exit_time,pnl_usd,points,qty,type
0,2025-03-19 10:18:00-04:00,1749.5999999998544,2.199999999999818,8,TP
1,2025-04-07 09:41:00-04:00,-1050.4000000001456,-1.300000000000182,8,SL
2,2025-04-08 09:41:00-04:00,1989.6,2.5,8,TP
3,2025-04-09 09:53:00-04:00,1429.5999999999635,7.199999999999818,2,TP
4,2025-04-09 10:07:00-04:00,1909.6000000000272,6.400000000000091,3,TP
5,2025-04-09 10:29:00-04:00,-1930.4000000000729,-2.400000000000091,8,SL
6,2025-04-22 09:44:00-04:00,1669.600000000109,5.600000000000364,3,TP
7,2025-05-07 10:35:00-04:00,-970.3999999998545,-1.199999999999818,8,SL
8,2025-06-11 10:45:00-04:00,-1450.4000000001456,-1.800000000000182,8,SL
9,2025-08-08 10:19:00-04:00,1629.6000000001454,4.100000000000364,4,TP
10,2025-08-08 10:43:00-04:00,-1810.4,-3.0,6,SL
11,2025-09-17 10:08:00-04:00,1159.5999999999817,11.699999999999818,1,TP
12,2025-10-08 10:13:00-04:00,1969.600000000109,3.300000000000182,6,TP
13,2025-10-09 10:34:00-04:00,1949.6000000001272,2.800000000000182,7,TP
14,2025-10-16 09:33:00-04:00,1689.6000000002728,3.4000000000005457,5,TP
15,2025-10-16 10:35:00-04:00,-1990.3999999995635,-3.2999999999992724,6,SL
16,2025-10-17 10:09:00-04:00,999.6000000000364,10.100000000000364,1,TP
17,2025-10-21 09:42:00-04:00,1729.6000000003273,2.9000000000005457,6,TP
18,2025-10-21 09:50:00-04:00,-1690.3999999999273,-4.199999999999818,4,SL
19,2025-10-21 10:14:00-04:00,1589.6,2.0,8,TP
20,2025-10-21 10:26:00-04:00,-1570.3999999999455,-5.199999999999818,3,SL
21,2025-10-21 10:32:00-04:00,-1830.4000000002547,-2.600000000000364,7,SL
22,2025-10-21 11:00:00-04:00,1809.599999999618,2.5999999999994543,7,TP
23,2025-10-22 09:32:00-04:00,-1810.4,-6.0,3,SL
24,2025-10-22 10:02:00-04:00,-1690.3999999995635,-2.0999999999994543,8,SL
25,2025-10-24 09:44:00-04:00,1789.6,3.0,6,TP
26,2025-10-29 10:32:00-04:00,-1570.400000000082,-5.200000000000273,3,SL
27,2025-10-29 10:35:00-04:00,-1590.4000000000183,-7.900000000000091,2,SL
28,2025-10-30 10:51:00-04:00,-1890.4000000002911,-4.700000000000728,4,SL
29,2025-11-12 10:06:00-05:00,-1960.400000000273,-3.9000000000005457,5,SL
30,2025-11-14 10:28:00-05:00,-1910.400000000091,-3.800000000000182,5,SL
31,2025-11-14 10:33:00-05:00,1829.6000000001454,2.300000000000182,8,TP
32,2025-11-17 09:55:00-05:00,1689.599999999818,3.399999999999636,5,TP
33,2025-11-17 09:56:00-05:00,1939.599999999818,3.899999999999636,5,TP
34,2025-11-17 10:07:00-05:00,1669.600000000291,2.100000000000364,8,TP
35,2025-11-17 10:18:00-05:00,1989.6,5.0,4,TP
36,2025-11-17 10:23:00-05:00,-1970.3999999998546,-4.899999999999636,4,SL
37,2025-11-17 10:32:00-05:00,-1370.3999999998546,-1.699999999999818,8,SL
38,2025-11-17 10:48:00-05:00,1839.599999999909,3.699999999999818,5,TP
39,2025-11-21 10:50:00-05:00,1789.599999999727,3.5999999999994543,5,TP
40,2025-12-10 09:40:00-05:00,-1690.3999999999273,-8.399999999999636,2,SL
41,2025-12-10 09:49:00-05:00,-1780.4000000001638,-5.900000000000546,3,SL
42,2025-12-10 09:53:00-05:00,1449.6000000000363,7.300000000000182,2,TP
43,2025-12-10 10:24:00-05:00,1909.5999999998908,3.199999999999818,6,TP
44,2025-12-12 10:40:00-05:00,1749.5999999998544,2.199999999999818,8,TP
45,2025-12-15 10:32:00-05:00,-1530.399999999709,-1.8999999999996362,8,SL
46,2025-12-30 09:58:00-05:00,-1930.399999999709,-4.799999999999272,4,SL
47,2025-12-30 10:10:00-05:00,-1810.400000000182,-3.600000000000364,5,SL
